{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/4/1/0/9281661/waterfall_9281661_2024-04-01T00-16-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/4/9233701/waterfall_9233701_2024-03-23T04-15-31.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/3/9244122/waterfall_9244122_2024-03-23T03-32-20.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/2/9233700/waterfall_9233700_2024-03-23T02-38-41.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/23/2/9244121/waterfall_9244121_2024-03-23T02-01-33.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/21/9233699/waterfall_9233699_2024-03-22T21-45-41.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/21/9235725/waterfall_9235725_2024-03-22T21-15-24.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/20/9233698/waterfall_9233698_2024-03-22T20-09-30.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/6/9230037/waterfall_9230037_2024-03-22T06-39-42.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/5/9228045/waterfall_9228045_2024-03-22T05-03-28.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/5/9228045/waterfall_9228045_2024-03-22T05-03-28.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/3/9227742/waterfall_9227742_2024-03-22T03-26-27.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/1/9227514/waterfall_9227514_2024-03-22T01-49-37.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/22/0/9230036/waterfall_9230036_2024-03-22T00-28-46.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/22/9230035/waterfall_9230035_2024-03-21T22-57-04.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/22/9227290/waterfall_9227290_2024-03-21T22-33-39.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/21/9230034/waterfall_9230034_2024-03-21T21-24-11.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/20/9227013/waterfall_9227013_2024-03-21T20-56-50.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/19/9230033/waterfall_9230033_2024-03-21T19-51-15.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/18/9230032/waterfall_9230032_2024-03-21T18-19-53.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/6/9225364/waterfall_9225364_2024-03-21T06-38-21.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/5/9225363/waterfall_9225363_2024-03-21T05-00-47.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/3/9225362/waterfall_9225362_2024-03-21T03-27-41.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/21/1/9225361/waterfall_9225361_2024-03-21T01-56-38.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/21/9225358/waterfall_9225358_2024-03-20T21-21-53.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/19/9225357/waterfall_9225357_2024-03-20T19-48-55.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/18/9225356/waterfall_9225356_2024-03-20T18-17-14.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/5/9218584/waterfall_9218584_2024-03-20T05-01-36.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/3/9218284/waterfall_9218284_2024-03-20T03-24-51.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/1/9220519/waterfall_9220519_2024-03-20T01-54-04.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/0/9220518/waterfall_9220518_2024-03-20T00-23-43.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/20/0/9217087/waterfall_9217087_2024-03-20T00-09-27.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/22/9217086/waterfall_9217086_2024-03-19T22-31-43.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/21/9220516/waterfall_9220516_2024-03-19T21-19-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/19/9220515/waterfall_9220515_2024-03-19T19-46-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/19/9220515/waterfall_9220515_2024-03-19T19-46-34.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/18/9220514/waterfall_9220514_2024-03-19T18-14-39.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/5/9213146/waterfall_9213146_2024-03-19T05-49-22.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/4/9220513/waterfall_9220513_2024-03-19T04-56-27.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/4/9213145/waterfall_9213145_2024-03-19T04-12-31.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/3/9220512/waterfall_9220512_2024-03-19T03-22-49.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/19/0/9212563/waterfall_9212563_2024-03-19T00-57-30.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/23/9212376/waterfall_9212376_2024-03-18T23-19-28.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/22/9220509/waterfall_9220509_2024-03-18T22-49-54.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/21/9212046/waterfall_9212046_2024-03-18T21-43-15.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/21/9220508/waterfall_9220508_2024-03-18T21-17-13.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/19/9220507/waterfall_9220507_2024-03-18T19-44-11.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/18/9220506/waterfall_9220506_2024-03-18T18-12-04.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/6/9209055/waterfall_9209055_2024-03-18T06-36-58.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/4/9217365/waterfall_9217365_2024-03-18T04-33-09.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/3/9209053/waterfall_9209053_2024-03-18T03-23-05.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/1/9210317/waterfall_9210317_2024-03-18T01-48-52.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/0/9210316/waterfall_9210316_2024-03-18T00-18-30.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/18/0/9209052/waterfall_9209052_2024-03-18T00-07-06.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/22/9210315/waterfall_9210315_2024-03-17T22-47-26.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/22/9209051/waterfall_9209051_2024-03-17T22-30-16.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/21/9210314/waterfall_9210314_2024-03-17T21-14-51.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/19/9210313/waterfall_9210313_2024-03-17T19-41-48.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/18/9210312/waterfall_9210312_2024-03-17T18-09-31.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/14/9207243/waterfall_9207243_2024-03-17T14-56-19.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/14/9207243/waterfall_9207243_2024-03-17T14-56-19.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/5/9202833/waterfall_9202833_2024-03-17T05-44-51.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/4/9206277/waterfall_9206277_2024-03-17T04-52-09.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/4/9202832/waterfall_9202832_2024-03-17T04-08-09.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/3/9206276/waterfall_9206276_2024-03-17T03-17-56.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/1/9206275/waterfall_9206275_2024-03-17T01-46-15.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/0/9202302/waterfall_9202302_2024-03-17T00-52-31.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/17/0/9206274/waterfall_9206274_2024-03-17T00-15-51.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/23/9202018/waterfall_9202018_2024-03-16T23-15-17.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/22/9206273/waterfall_9206273_2024-03-16T22-44-55.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/21/9206272/waterfall_9206272_2024-03-16T21-12-27.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/19/9206271/waterfall_9206271_2024-03-16T19-39-23.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/18/9206270/waterfall_9206270_2024-03-16T18-06-57.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/15/9207242/waterfall_9207242_2024-03-16T15-06-20.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/6/9197688/waterfall_9197688_2024-03-16T06-33-13.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/4/9197473/waterfall_9197473_2024-03-16T04-56-32.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/4/9201935/waterfall_9201935_2024-03-16T04-06-27.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/3/9206269/waterfall_9206269_2024-03-16T03-15-29.png', 'waterfall_status': 'with-signal'}
{'waterfall': 'https://s3.eu-central-1.wasabisys.com/satnogs-network/data_obs/2024/3/16/1/9197123/waterfall_9197123_2024-03-16T01-41-14.png', 'waterfall_status': 'with-signal'}
